frame,cx,cy,x1,y1,x2,y2,conf
24,580,285,542,179,618,391,0.7922192811965942
24,481,310,433,193,529,427,0.7094624042510986
24,726,317,684,202,768,433,0.6920247673988342
24,710,322,682,219,738,426,0.35663411021232605
25,641,336,600,222,682,451,0.8059121966362
25,766,454,703,317,829,591,0.8043674826622009
25,581,287,542,180,620,394,0.7909677028656006
25,477,311,431,196,523,426,0.7399685978889465
25,725,323,683,206,767,440,0.7374648451805115
25,511,258,484,168,538,348,0.44028955698013306
26,769,453,708,322,830,585,0.8389748930931091
26,640,344,598,232,682,456,0.779592752456665
26,581,288,543,183,619,394,0.7714002132415771
26,474,312,430,198,518,427,0.7024167776107788
26,721,327,678,207,764,448,0.6574399471282959
26,506,263,475,167,537,359,0.4172079265117645
27,721,329,678,208,764,451,0.7978643178939819
27,639,351,597,234,681,469,0.7937248945236206
27,776,471,715,331,837,611,0.7824123501777649
27,580,289,543,186,618,392,0.7699909806251526
27,469,316,428,208,511,425,0.6733464598655701
27,502,267,469,166,536,369,0.4808790385723114
27,86,243,54,167,119,319,0.3749852180480957
28,719,330,677,212,762,448,0.8113060593605042
28,637,354,597,230,677,478,0.7741623520851135
28,579,290,542,189,617,391,0.769260585308075
28,466,316,428,209,504,424,0.7161851525306702
28,767,460,716,335,818,585,0.6942931413650513
28,85,241,52,166,118,317,0.5967311859130859
28,501,263,469,155,534,372,0.5248591303825378
29,717,331,675,212,760,451,0.830150842666626
29,581,291,544,189,619,394,0.7891960740089417
29,636,351,596,235,676,468,0.7829930186271667
29,775,484,719,336,832,633,0.6731834411621094
29,463,319,425,213,501,425,0.6634519100189209
29,84,242,50,166,118,318,0.6405590176582336
29,501,275,468,169,535,382,0.5978984236717224
30,716,333,674,215,759,452,0.8389707803726196
30,634,369,593,250,676,488,0.8196927905082703
30,783,488,723,342,844,634,0.754414439201355
30,583,294,545,190,621,399,0.7436401844024658
30,82,241,48,166,117,317,0.6664831042289734
30,501,279,467,169,536,390,0.661316990852356
30,460,318,424,211,497,426,0.596942126750946
31,633,375,589,253,678,497,0.8279618620872498
31,784,489,725,343,844,636,0.7988324165344238
31,717,333,675,217,759,449,0.7955973148345947
31,81,241,45,166,117,317,0.7254878282546997
31,502,281,465,169,539,393,0.706983745098114
31,582,291,545,191,619,392,0.6945534348487854
31,459,314,423,203,496,425,0.5561515092849731
31,768,284,738,203,799,365,0.4728683531284332
32,634,376,585,255,683,497,0.8482301235198975
32,787,491,726,345,849,638,0.8192611932754517
32,717,332,675,218,760,446,0.7284428477287292
32,501,284,464,170,538,399,0.7082967758178711
32,80,241,44,166,117,316,0.6997175216674805
32,581,285,545,192,617,378,0.6901440024375916
32,457,310,420,194,494,426,0.5503634810447693
32,737,329,714,235,760,423,0.35484498739242554
33,631,376,585,255,678,497,0.8587939143180847
33,790,493,727,349,853,638,0.8476608991622925
33,718,333,674,217,763,449,0.7451417446136475
33,501,286,464,171,538,401,0.7419326305389404
33,581,289,545,195,618,383,0.704018235206604
33,80,241,44,166,117,316,0.6848463416099548
33,458,315,424,206,493,425,0.5783258676528931
33,769,284,740,205,799,364,0.4506003260612488
34,629,376,582,256,677,497,0.8593888282775879
34,794,499,729,353,859,646,0.8461157083511353
34,718,334,673,218,763,451,0.7815717458724976
34,502,287,464,173,540,402,0.7607242465019226
34,81,241,44,166,118,316,0.6918872594833374
34,581,285,545,192,617,378,0.6705024242401123
34,458,318,424,212,493,425,0.6001582145690918
34,770,283,740,205,800,361,0.5059415102005005
34,817,265,791,175,843,355,0.35691142082214355
35,797,511,730,358,865,664,0.8726008534431458
35,626,377,580,257,673,497,0.8690189719200134
35,718,336,671,221,766,452,0.693327784538269
35,501,288,465,175,538,402,0.6904857754707336
35,81,241,45,166,117,316,0.6505653262138367
35,581,285,545,193,617,378,0.6422193646430969
35,459,316,424,207,494,425,0.5585888624191284
36,625,374,577,258,673,491,0.8479288816452026
36,800,520,731,366,869,674,0.8454532027244568
36,720,338,671,221,769,455,0.7864250540733337
36,500,289,466,177,534,401,0.717272937297821
36,81,242,45,167,117,317,0.6937191486358643
36,581,295,545,194,617,397,0.6444487571716309
36,459,313,425,200,493,426,0.512058675289154
36,774,295,742,206,806,384,0.444084495306015
37,624,375,575,260,673,490,0.8518792986869812
37,800,520,732,372,868,668,0.8498079180717468
37,719,341,670,224,769,458,0.7744945883750916
37,499,288,465,177,534,400,0.7468750476837158
37,80,241,44,166,116,317,0.7130608558654785
37,580,298,544,194,617,403,0.6502438187599182
37,456,302,422,179,491,426,0.5118075609207153
37,774,296,741,206,807,387,0.39104393124580383
38,621,380,575,261,668,500,0.8435051441192627
38,800,540,733,380,867,701,0.8224287629127502
38,500,286,464,175,536,398,0.7685478329658508
38,718,345,671,229,766,462,0.7303419709205627
38,81,241,45,166,117,317,0.7085824012756348
38,580,304,544,197,617,412,0.621817946434021
38,454,303,420,180,489,427,0.49693426489830017
38,775,298,742,206,808,390,0.4171697497367859
39,618,385,573,264,664,507,0.8064219951629639
39,502,287,464,177,540,398,0.7985706925392151
39,801,544,735,386,867,702,0.7878244519233704
39,81,242,46,166,117,318,0.7055841684341431
39,718,348,670,233,766,464,0.6909396648406982
39,581,308,544,200,618,416,0.5765179395675659
39,453,303,420,181,487,426,0.5236523151397705
40,804,555,738,394,870,716,0.8682990670204163
40,616,388,571,268,662,508,0.7691078186035156
40,502,286,464,178,540,395,0.7600937485694885
40,81,241,45,166,117,317,0.6753767132759094
40,718,354,670,236,767,473,0.6532500982284546
40,581,314,544,202,618,427,0.5620264410972595
40,453,310,421,193,486,428,0.5064536333084106
41,613,389,569,273,658,506,0.7982676029205322
41,806,557,741,400,872,715,0.7945313453674316
41,503,290,465,179,542,401,0.7929287552833557
41,724,361,676,237,772,485,0.6397616863250732
41,80,242,43,167,117,317,0.6264179944992065
41,579,311,542,205,617,417,0.5282177329063416
42,505,292,464,180,546,405,0.8249085545539856
42,612,395,569,281,655,509,0.8001968860626221
42,808,561,742,405,874,717,0.7243667840957642
42,724,365,676,240,773,491,0.6893532276153564
42,81,242,44,166,119,318,0.5523831844329834
42,583,307,541,207,626,408,0.5487632751464844
42,809,515,742,404,876,627,0.5023486614227295
43,811,563,742,408,880,718,0.843854546546936
43,505,294,465,181,546,408,0.8356277346611023
43,610,403,568,285,653,522,0.745317816734314
43,727,368,678,244,776,493,0.6242703199386597
43,79,241,42,166,117,317,0.577435314655304
43,584,289,542,212,627,366,0.5697125196456909
44,504,297,466,183,543,411,0.8069454431533813
44,813,552,743,412,883,692,0.7533940076828003
44,606,403,561,290,652,517,0.7214909791946411
44,79,241,42,166,117,317,0.5959969758987427
44,584,287,543,214,625,361,0.573621392250061
44,737,369,696,245,779,494,0.570268988609314
44,788,269,744,169,833,369,0.3926069736480713
45,814,565,744,416,884,715,0.8815073370933533
45,504,298,464,184,545,413,0.8145735859870911
45,600,399,555,291,645,508,0.7276231646537781
45,79,241,42,166,116,317,0.674005925655365
45,733,369,686,244,780,495,0.6155144572257996
45,582,287,539,216,625,358,0.6154181361198425
46,815,569,747,421,884,717,0.9053815603256226
46,502,297,463,187,541,408,0.791222870349884
46,598,399,553,295,644,504,0.6876839399337769
46,577,286,536,217,618,356,0.6432988047599792
46,729,371,679,244,779,498,0.6204517483711243
46,78,242,41,167,115,317,0.5384535789489746
47,821,572,750,428,893,717,0.8895432353019714
47,502,299,461,189,544,410,0.8151484727859497
47,70,241,28,167,113,316,0.7157857418060303
47,728,372,677,245,780,500,0.6990330815315247
47,595,401,549,297,642,506,0.67448890209198
47,574,291,533,218,615,365,0.6310948133468628
47,643,300,615,200,672,400,0.4121250808238983
48,825,576,753,435,897,718,0.8914614915847778
48,502,299,460,191,544,407,0.8112553358078003
48,729,369,678,246,781,492,0.7252616882324219
48,593,409,546,298,640,520,0.7199658155441284
48,67,241,21,168,113,315,0.660262942314148
48,572,292,530,218,614,366,0.6170818209648132
48,647,310,621,220,673,400,0.3794114589691162
49,828,582,756,445,900,719,0.8876665830612183
49,588,427,537,298,640,557,0.78305584192276
49,729,372,678,249,781,496,0.7627993822097778
49,499,299,458,191,541,407,0.7573258876800537
49,573,287,531,219,616,356,0.5973439812660217
49,66,242,22,169,111,315,0.5049445629119873
49,648,316,623,232,673,401,0.45768678188323975
50,830,585,759,453,902,718,0.8679488897323608
50,729,374,678,250,781,498,0.8174899816513062
50,586,431,532,299,641,563,0.8158235549926758
50,496,301,456,192,537,411,0.6718384027481079
50,574,288,529,219,619,358,0.6504969596862793
50,648,321,623,244,673,398,0.49797648191452026
50,511,298,487,193,536,404,0.4307060241699219
50,66,242,23,169,110,315,0.4221598207950592
51,836,590,765,462,908,718,0.8808674216270447
51,584,433,527,302,641,565,0.8362106680870056
51,730,376,680,252,780,501,0.7627733945846558
51,496,304,455,192,537,416,0.7195459008216858
51,573,288,528,219,618,358,0.6729433536529541
51,648,314,621,232,676,396,0.4281560480594635
52,842,593,769,469,915,718,0.8824101090431213
52,582,440,523,306,642,575,0.8378339409828186
52,727,385,676,254,779,517,0.759663999080658
52,494,306,453,192,536,421,0.756669819355011
52,573,294,527,219,619,369,0.7131104469299316
52,648,300,613,207,683,394,0.4597563147544861
52,647,312,622,233,672,391,0.3885037899017334
53,850,596,775,474,926,718,0.8530816435813904
53,580,447,517,311,644,583,0.8369578719139099
53,493,308,452,193,534,423,0.7642789483070374
53,573,297,525,221,621,373,0.7550602555274963
53,729,387,679,259,780,515,0.7128264904022217
53,57,241,12,167,102,316,0.4981273412704468
53,648,301,613,208,683,394,0.4725601375102997
53,646,311,623,231,670,392,0.3663807511329651
54,853,598,780,478,927,719,0.8497424125671387
54,579,461,514,318,645,605,0.8416936993598938
54,492,312,451,194,533,431,0.7668060064315796
54,729,396,680,261,779,531,0.7398690581321716
54,573,305,525,223,621,388,0.6782181859016418
54,50,240,3,167,97,314,0.597069263458252
54,649,304,614,209,684,399,0.5509864687919617
54,646,317,623,236,670,398,0.44344082474708557
54,1192,240,1159,173,1226,307,0.3576667904853821
55,858,598,783,480,933,717,0.8693413138389587
55,578,469,512,325,644,614,0.8455531597137451
55,728,388,679,263,777,513,0.8084284663200378
55,492,314,451,196,533,432,0.7493303418159485
55,572,301,524,227,621,376,0.7161688804626465
55,48,240,1,166,96,314,0.6580889225006104
55,647,307,616,213,678,402,0.5101282000541687
55,646,320,622,238,670,402,0.4742887616157532
55,777,337,742,239,813,435,0.47144195437431335
55,1184,239,1163,177,1206,302,0.39075323939323425
56,860,601,786,484,935,718,0.8629202246665955
56,577,473,511,334,644,613,0.8527100682258606
56,727,397,677,267,778,527,0.8167799711227417
56,491,314,450,197,532,432,0.7566172480583191
56,45,239,0,165,90,313,0.7360615730285645
56,571,305,524,230,619,380,0.7212401628494263
56,775,337,740,233,811,442,0.5408101677894592
56,647,306,611,210,683,403,0.4315671920776367
56,775,346,748,256,803,437,0.3655814826488495
56,645,319,621,235,670,404,0.3654528558254242
56,1184,238,1164,178,1205,298,0.35585489869117737
57,577,477,511,340,643,614,0.8685814142227173
57,864,603,787,489,942,718,0.8619601130485535
57,725,416,675,272,776,560,0.8478242754936218
57,42,240,0,166,85,314,0.8166884183883667
57,489,315,446,198,533,432,0.7178337574005127
57,571,308,523,233,620,383,0.691001296043396
57,776,344,739,236,813,453,0.6014020442962646
57,646,310,609,214,683,407,0.4395256042480469
57,776,352,750,258,803,447,0.4393638074398041
57,648,323,622,238,674,408,0.36440107226371765
58,576,487,510,346,642,628,0.8582965135574341
58,867,607,788,496,946,718,0.850262463092804
58,39,240,0,166,78,315,0.8129807114601135
58,728,417,676,277,780,558,0.8037095665931702
58,491,311,446,197,536,426,0.7054054737091064
58,571,312,523,238,620,387,0.6658463478088379
58,778,346,741,238,815,455,0.5667304396629333
58,644,318,608,222,680,415,0.46336254477500916
58,125,231,98,165,152,298,0.4575125575065613
58,1180,243,1157,192,1203,295,0.3596983551979065
58,1162,635,1059,554,1266,717,0.35026320815086365
59,576,496,510,347,643,646,0.85306316614151
59,869,611,791,504,947,719,0.8478235602378845
59,36,241,0,166,73,316,0.8008105754852295
59,727,418,674,279,781,557,0.7977907061576843
59,490,317,446,201,534,433,0.7414482831954956
59,571,317,521,243,622,392,0.6678081154823303
59,124,228,97,164,152,293,0.5985259413719177
59,778,350,741,235,815,466,0.516877293586731
59,1160,637,1060,558,1260,717,0.4850939214229584
59,1221,245,1196,176,1246,314,0.4617496728897095
59,1180,241,1158,187,1203,295,0.448413223028183
59,644,322,608,222,681,423,0.4032106399536133
60,576,499,511,351,641,647,0.8743658065795898
60,871,617,794,515,949,719,0.8405172824859619
60,36,240,0,165,72,315,0.7924953699111938
60,490,318,445,203,535,434,0.7448290586471558
60,726,421,673,282,779,560,0.731228768825531
60,572,317,521,248,623,387,0.692745566368103
60,124,228,96,164,152,293,0.6599221229553223
60,1224,245,1197,175,1251,315,0.5805091261863708
60,1155,639,1059,562,1251,716,0.49724897742271423
60,776,361,741,254,812,469,0.4806739389896393
60,1180,238,1157,183,1204,294,0.467267245054245
60,644,330,609,226,679,434,0.4532431662082672
61,575,501,510,355,641,648,0.8862377405166626
61,874,621,797,525,952,718,0.8070154190063477
61,489,319,446,203,532,435,0.7666052579879761
61,723,421,670,284,777,559,0.738160252571106
61,36,241,0,166,72,316,0.7377304434776306
61,571,318,520,251,623,386,0.6980965733528137
61,777,359,740,246,815,473,0.6549995541572571
61,123,229,95,165,151,294,0.6067133545875549
61,1226,245,1198,175,1254,315,0.6010358333587646
61,645,330,610,224,680,437,0.5641326308250427
61,1183,238,1161,182,1205,295,0.43617793917655945
61,530,215,495,138,565,292,0.38806846737861633
61,649,204,613,154,685,254,0.3657563328742981
62,575,503,510,358,640,649,0.893229067325592
62,720,421,667,284,774,559,0.7739077806472778
62,877,627,799,537,955,718,0.7060568332672119
62,488,321,445,203,532,439,0.7023999691009521
62,36,241,0,168,72,314,0.6527678370475769
62,778,362,742,250,815,475,0.651067316532135
62,572,319,521,251,624,388,0.6469125151634216
62,1228,244,1199,175,1258,314,0.630190372467041
62,645,332,611,226,679,438,0.5443590879440308
62,123,229,94,164,152,294,0.5277560949325562
62,1184,237,1161,181,1207,294,0.5018794536590576
62,530,215,495,138,565,292,0.3688282072544098
63,573,503,510,359,637,647,0.8429228663444519
63,719,421,668,286,771,557,0.7930496335029602
63,488,322,444,203,533,442,0.7098783850669861
63,36,241,0,168,72,314,0.70792156457901
63,572,321,520,251,625,391,0.6708723306655884
63,780,363,744,254,817,473,0.6324701905250549
63,1229,242,1199,173,1260,311,0.6319528818130493
63,879,632,801,545,958,719,0.5468174815177917
63,646,331,614,227,679,436,0.5223485827445984
63,1186,234,1161,173,1211,295,0.49047261476516724
63,123,228,95,164,152,293,0.4893776476383209
63,529,216,494,139,565,294,0.4316585958003998
64,571,504,509,361,634,648,0.8576540350914001
64,718,419,667,286,770,552,0.7950596809387207
64,36,242,0,168,72,316,0.7297523617744446
64,571,323,519,252,624,394,0.6925296783447266
64,489,322,445,204,533,440,0.6774721145629883
64,781,364,745,255,818,474,0.6143077611923218
64,1230,242,1200,173,1261,312,0.6089138388633728
64,646,332,614,229,678,436,0.5639140009880066
64,886,637,803,555,970,719,0.5231302380561829
64,1187,233,1162,173,1213,294,0.45649147033691406
64,529,216,494,140,564,292,0.45453041791915894
64,123,229,95,168,152,291,0.36194899678230286
65,569,508,507,365,631,651,0.8654171824455261
65,717,422,668,289,767,556,0.8190771341323853
65,36,242,0,169,72,316,0.685371458530426
65,783,364,747,254,820,474,0.6809748411178589
65,572,324,521,253,624,395,0.6729940176010132
65,1198,431,1170,374,1226,488,0.5666739344596863
65,489,325,446,206,533,444,0.5520856976509094
65,889,639,805,561,974,718,0.5140987038612366
65,647,334,615,230,679,438,0.5114280581474304
65,1230,243,1198,176,1262,311,0.48374423384666443
65,529,216,494,141,564,291,0.45132753252983093
66,567,509,504,369,630,650,0.8564686179161072
66,716,428,667,293,766,564,0.8174614310264587
66,1199,430,1170,373,1228,488,0.7302246689796448
66,36,242,0,168,72,316,0.728134036064148
66,572,327,522,254,623,400,0.6876537203788757
66,489,329,446,207,533,451,0.6743661165237427
66,784,364,747,254,821,474,0.6628022193908691
66,893,643,807,567,979,719,0.6419225931167603
66,1231,243,1201,176,1261,310,0.5584494471549988
66,528,217,492,143,564,292,0.41062113642692566
66,645,335,611,231,680,440,0.406955748796463
66,1186,236,1163,183,1209,290,0.37756112217903137
67,565,513,503,374,628,652,0.8663849234580994
67,718,437,663,296,773,578,0.8069053292274475
67,36,242,0,168,72,316,0.7677649855613708
67,1200,430,1167,371,1233,490,0.7255025506019592
67,494,332,455,210,533,455,0.698590874671936
67,894,645,809,573,979,718,0.6603567600250244
67,570,333,521,254,620,413,0.6386494040489197
67,784,364,746,254,822,474,0.6368909478187561
67,1232,243,1202,176,1262,310,0.6102270483970642
67,645,335,610,231,680,440,0.4871479570865631
67,526,216,488,143,564,290,0.4259909987449646
67,648,344,621,254,675,435,0.3541373908519745
68,564,523,501,382,628,665,0.84858238697052
68,36,241,0,167,72,315,0.8153856992721558
68,718,449,665,301,771,597,0.7942550182342529
68,494,338,456,215,532,461,0.7470353841781616
68,1200,427,1168,369,1232,486,0.7070252299308777
68,1236,239,1206,170,1267,308,0.6309446692466736
68,570,343,521,256,620,431,0.6301475167274475
68,894,649,809,580,979,718,0.6129286289215088
68,645,331,613,232,677,431,0.5791903138160706
68,783,365,747,256,819,474,0.5664991736412048
68,1197,226,1179,175,1216,278,0.3806248605251312
69,563,540,500,392,626,689,0.8360981941223145
69,36,241,0,167,72,316,0.8065794110298157
69,716,450,665,303,768,598,0.7771480083465576
69,785,364,747,255,823,474,0.7100575566291809
69,493,339,455,215,532,463,0.7035741806030273
69,1238,239,1207,171,1270,308,0.6822425127029419
69,1201,427,1168,369,1234,485,0.6577903032302856
69,569,338,519,258,619,419,0.5783742070198059
69,896,654,812,590,981,718,0.5423131585121155
69,645,335,608,231,682,440,0.5142294764518738
69,523,214,484,145,562,284,0.37434983253479004
70,561,557,498,399,625,716,0.8565119504928589
70,717,452,666,306,769,598,0.7768155932426453
70,787,370,748,258,826,482,0.7286721467971802
70,1240,239,1208,170,1272,308,0.7223683595657349
70,36,241,0,166,72,316,0.7068154811859131
70,494,341,455,219,533,464,0.6761329770088196
70,1203,426,1168,368,1238,485,0.6163334250450134
70,569,351,519,259,620,443,0.5886561274528503
70,1200,227,1181,172,1219,282,0.4860820770263672
70,641,341,602,236,681,447,0.4690137207508087
70,113,227,78,168,148,287,0.3956376314163208
70,522,217,482,145,562,290,0.3640880584716797
71,560,560,497,404,624,717,0.8513864874839783
71,720,461,663,312,777,611,0.7744356393814087
71,787,368,748,260,827,477,0.7375298738479614
71,1206,425,1170,368,1242,483,0.7033487558364868
71,1240,238,1209,170,1271,307,0.695845365524292
71,494,342,456,221,533,464,0.673591136932373
71,568,354,514,266,622,442,0.5952460169792175
71,641,342,599,238,683,447,0.5620068311691284
71,1201,228,1183,175,1219,281,0.3842342495918274
71,35,240,0,166,70,315,0.35106152296066284
72,559,564,495,411,623,718,0.8577929735183716
72,719,473,659,314,780,633,0.7487634420394897
72,788,370,749,264,828,476,0.7428168058395386
72,1207,423,1172,367,1242,480,0.7146673202514648
72,1239,237,1209,170,1270,304,0.6721370816230774
72,493,343,452,222,534,465,0.6628950238227844
72,568,363,515,274,621,452,0.6315599679946899
72,33,240,0,166,67,314,0.5816457867622375
72,640,340,597,236,683,444,0.5498077869415283
72,1201,229,1182,178,1220,281,0.4282419979572296
73,558,568,493,419,624,718,0.8780041337013245
73,721,476,660,318,783,634,0.7993648052215576
73,1207,419,1172,366,1242,473,0.7723801732063293
73,789,385,749,267,829,503,0.7240138053894043
73,568,367,515,279,622,456,0.6382105946540833
73,492,342,451,224,533,460,0.619684100151062
73,1241,238,1209,173,1273,303,0.5601988434791565
73,639,341,597,239,682,444,0.47569739818573
74,558,571,492,423,624,719,0.88040691614151
74,725,478,665,323,785,634,0.7909906506538391
74,790,389,751,270,829,509,0.7420806288719177
74,1209,416,1172,364,1246,469,0.7279202342033386
74,568,368,515,283,621,453,0.6875278353691101
74,490,343,448,225,533,461,0.6684753894805908
74,639,346,596,240,683,452,0.5508224368095398
74,32,241,0,167,65,315,0.4554540812969208
74,1237,237,1206,175,1268,300,0.4017365872859955
75,557,572,490,427,625,718,0.8835411071777344
75,724,481,663,327,785,635,0.7626785039901733
75,1211,415,1174,362,1248,468,0.7353509664535522
75,569,367,517,286,621,449,0.6974088549613953
75,790,389,751,274,829,504,0.6821978688240051
75,490,343,447,223,534,464,0.6793661117553711
75,640,351,596,244,685,459,0.5683712959289551
76,557,574,487,430,628,718,0.8782209157943726
76,1212,413,1176,359,1249,468,0.7479400038719177
76,723,481,664,329,782,634,0.7403568029403687
76,567,371,515,288,619,455,0.7233714461326599
76,490,344,445,223,535,466,0.7155876755714417
76,640,359,596,253,685,466,0.6549352407455444
76,790,397,751,276,829,518,0.6341953277587891
77,558,575,486,433,630,717,0.889155924320221
77,720,483,664,333,776,633,0.7632601857185364
77,488,349,443,224,534,474,0.7510186433792114
77,564,376,513,290,616,462,0.7395137548446655
77,790,399,749,277,831,521,0.7075989246368408
77,641,360,597,253,685,468,0.689731240272522
77,1215,411,1179,355,1252,467,0.6734253764152527
77,729,280,687,221,771,340,0.3563280999660492
78,559,578,486,438,633,718,0.8927296996116638
78,487,358,444,229,530,487,0.7747363448143005
